Loan_ID,loan_status,Principal,terms,effective_date,due_date,paid_off_time,past_due_days,age,education,Gender
xqd20166231,1,1000,30,09/08/2016,10/07/2016,9/14/2016 19:31,,45,1,1
xqd20168902,1,1000,30,09/08/2016,10/07/2016,10/07/2016 9:00,,50,3,0
xqd20160003,1,1000,30,09/08/2016,10/07/2016,9/25/2016 16:58,,33,3,0
xqd20160004,1,1000,15,09/08/2016,9/22/2016,9/22/2016 20:00,,27,2,1
xqd20160005,1,1000,30,09/09/2016,10/08/2016,9/23/2016 21:36,,28,2,0
xqd20160706,1,300,7,09/09/2016,9/15/2016,09/09/2016 13:45,,35,4,1
xqd20160007,1,1000,30,09/09/2016,10/08/2016,10/07/2016 23:07,,29,2,1
xqd20160008,1,1000,30,09/09/2016,10/08/2016,10/05/2016 20:33,,36,2,1
xqd20160909,1,1000,30,09/09/2016,10/08/2016,10/08/2016 16:00,,28,2,1
xqd20160010,1,800,15,09/10/2016,9/24/2016,9/24/2016 13:00,,26,2,1
xqd20160011,1,300,7,09/10/2016,9/16/2016,09/11/2016 19:11,,29,2,1
xqd20160012,1,1000,15,09/10/2016,10/09/2016,10/09/2016 16:00,,39,1,1
xqd20160013,1,1000,30,09/10/2016,10/09/2016,10/07/2016 23:32,,26,2,1
xqd20160014,1,900,7,09/10/2016,9/16/2016,9/13/2016 21:57,,26,2,0
xqd20160015,1,1000,7,09/10/2016,9/16/2016,9/15/2016 14:27,,27,1,1
xqd20160016,1,800,15,09/10/2016,9/24/2016,9/24/2016 16:00,,26,2,1
xqd20160017,1,1000,30,09/10/2016,10/09/2016,9/27/2016 14:21,,40,1,1
xqd20160018,1,1000,15,09/10/2016,9/24/2016,9/23/2016 18:49,,32,1,1
xqd20160019,1,1000,30,09/10/2016,10/09/2016,10/05/2016 22:05,,32,1,1
xqd20160020,1,800,30,09/10/2016,10/09/2016,9/23/2016 7:42,,26,2,1
xqd20160021,1,1000,30,09/10/2016,10/09/2016,10/09/2016 9:00,,26,2,1
xqd20160022,1,1000,30,09/10/2016,10/09/2016,10/08/2016 17:09,,43,1,0
xqd20160023,1,1000,30,09/10/2016,10/09/2016,10/09/2016 23:00,,25,1,1
xqd20160024,1,1000,15,09/10/2016,9/24/2016,9/24/2016 13:00,,26,2,1
xqd20160025,1,1000,30,09/10/2016,10/09/2016,10/03/2016 12:50,,26,2,1
xqd20160026,1,1000,30,09/10/2016,10/09/2016,9/29/2016 12:18,,29,1,1
xqd20160027,1,800,15,09/10/2016,9/24/2016,9/21/2016 20:16,,39,3,1
xqd20170088,1,1000,15,09/10/2016,9/24/2016,9/23/2016 8:21,,34,3,1
xqd20160029,1,1000,30,09/11/2016,10/10/2016,9/22/2016 19:17,,31,2,1
xqd20160030,1,1000,30,09/11/2016,10/10/2016,10/09/2016 17:33,,33,2,1
